"diagnosis_procedure"	"total_paid"	"percent_rank_total_paid"	"avg_paid_per_claim"	"mean_count_per_claim"	"claim_count"
"S12.9XX_A0436"	33422.64	0.990499	16711.32	2	2
"S52.592_25609"	32435.38	0.99022	2027.21125	1.25	16
"M54.9_97799"	142240	0.997891	20320	1.19791666666667	7
"S22.31X_99456"	54470	0.994079	972.678571428571	2.01515151515152	56
"S92.355_E0747"	42491.67	0.992428	4249.167	1.18181818181818	10
"S63.501_97799"	361019.61	0.999322	10939.9881818182	1.78829604130809	33
"S88.012_L5856"	83991.89	0.996207	27997.2966666667	1.33333333333333	3
"M76.51_99213"	36322.05	0.991189	248.781164383562	1.05962059620596	146
"S14.135_A4353"	65896.25	0.995121	65896.25	1.2962962962963	1
"S93.691_97799"	36362.52	0.991195	18181.26	1	2
"S62.101_97799"	74285	0.995694	14857	1.10126582278481	5
"S83.412_97140"	41969.11	0.992346	174.871291666667	1.11013215859031	240
"Z77.098_99456"	38247.5	0.99163	910.654761904762	2.38775510204082	42
"S33.5XX_L8680"	47363.47	0.993164	2152.885	1.63636363636364	22
"S16.1XX_97750"	265871.24	0.998997	694.180783289817	1.72865275142315	383
"S82.831_27792"	35221.64	0.990936	1304.50518518519	1.22222222222222	27
"S68.012_L7499"	106234.16	0.997055	15176.3085714286	2.55555555555556	7
"S68.511_L7499"	72634.8	0.995595	18158.7	1.75	4
"S62.602_99456"	58892.5	0.994528	764.837662337662	1.41379310344828	77
"S52.122_97799"	33396.13	0.990492	8349.0325	1.08108108108108	4
"M25.561_80307"	35591.53	0.991028	181.58943877551	1.20293398533007	196
"Z89.511_L5968"	39695.18	0.991921	3969.518	1	10
"S14.107_S9122"	33650	0.990547	33650	1	1
"S43.429_97799"	43300	0.992566	14433.3333333333	1.06849315068493	3
"S92.901_99456"	83300	0.99618	808.73786407767	1.775	103
"S82.51X_01480"	37903.62	0.991544	445.924941176471	1.47674418604651	85
"S46.011_L8699"	130770.31	0.997678	1054.59927419355	1.51587301587302	124
"S83.272_97530"	39320.25	0.991853	677.935344827586	1.2078431372549	58
"S83.402_99456"	75286.67	0.995748	784.236145833333	1.81818181818182	96
"S46.812_J3490"	58924.53	0.99453	1900.79129032258	2.08928571428571	31
"M47.817_64493"	80368.93	0.99604	478.386488095238	1.47150259067358	168
"S88.012_L5999"	172763.75	0.998333	34552.75	2.2	5
"S92.302_99456"	77422.5	0.995881	723.57476635514	1.48695652173913	107
"Z89.512_L5671"	35010.86	0.990884	795.701363636364	1.14285714285714	44
"S62.602_L7499"	48797.47	0.993355	48797.47	3	1
"S50.811_99213"	35255.94	0.990943	140.461912350598	1.03903903903904	251
"S14.109_A4353"	60693.63	0.994712	15173.4075	1.02439024390244	4
"S68.610_L7499"	110911.94	0.99721	13863.9925	2.88888888888889	8
"G82.21_S5165"	54666.87	0.994097	18222.29	1.16666666666667	3
"S62.002_99456"	47230.5	0.993146	858.736363636364	1.52941176470588	55
"S83.92X_99214"	1049456	0.999826	316.960434913923	1.04927163667524	3311
"S62.633_73140"	34739.03	0.990816	68.1157450980392	1.12572087658593	510
"G82.21_E1399"	282403.39	0.999077	11766.8079166667	1.36781609195402	24
"Z89.512_L5645"	44726.83	0.992791	1146.84179487179	1.11764705882353	39
"M25.551_97799"	66400	0.995156	22133.3333333333	1.18055555555556	3
"S62.632_99456"	82012.5	0.99612	683.4375	1.41221374045802	120
"S43.492_29823"	50164.06	0.993556	928.964074074074	1.40740740740741	54
"S68.512_L7499"	128213.62	0.997628	21368.9366666667	2.25	6
"S76.011_99456"	176355.97	0.998373	1025.32540697674	2.03	172
"T14.90X_80299"	234087.8	0.998825	750.28141025641	1.01089324618736	312
"S92.901_99204"	33666.81	0.990554	243.962391304348	1.10810810810811	138
"S68.613_L7499"	77002.5	0.99586	19250.625	1.4	4
"M48.02_22853"	35856.94	0.99108	629.069122807018	2.77586206896552	57
"M19.171_99213"	45775.34	0.992935	248.77902173913	1.07657657657658	184
"S83.512_A4649"	48383.8	0.993302	2419.19	1.47619047619048	20
"S06.2X9_S9122"	276196.1	0.999052	69049.025	1.18361581920904	4
"M23.90_99213"	39629.13	0.991907	241.641036585366	1.07352941176471	164
"M43.16_95999"	39079.2	0.991813	1860.91428571429	4.95454545454545	21
"C90.02_J9145"	93176	0.996589	93176	1	1
"S42.401_99213"	42775.37	0.992471	250.148362573099	1.03676470588235	171
"S48.112_L7499"	87551.08	0.996356	21887.77	1	4
"S66.811_99456"	40997	0.992152	759.203703703704	1.79310344827586	54
"S93.401_97799"	349935.27	0.99929	9998.15057142857	1.26946107784431	35
"M25.561_J3490"	49024.4	0.993402	662.491891891892	1.76041666666667	74
"S66.919_99456"	32815	0.990349	911.527777777778	1.75609756097561	36
"S92.401_99213"	45623.1	0.992907	249.306557377049	1.03712296983759	183
"R33.9_A4353"	338398.4	0.999262	14099.9333333333	1.24154589371981	24
"S46.011_73222"	39435.4	0.991873	415.10947368421	1.14736842105263	95
"T75.4XX_97799"	589371	0.999639	58937.1	1.71808510638298	10
"M54.5_99199"	36393.08	0.991203	126.805156794425	1.17708333333333	287
"H90.3_99456"	39250	0.991837	633.064516129032	1.44444444444444	62
"K42.9_49652"	272787.08	0.999031	2020.64503703704	1.42962962962963	135
"M23.8X2_E1399"	42591.7	0.99244	2505.39411764706	1.0464135021097	17
"S88.111_L5968"	33584.57	0.990535	4797.79571428571	1.125	7
"S33.5XX_97012"	40782.18	0.99212	95.9580705882353	1.10986775178026	425
"M75.121_97799"	286143.62	0.999093	13625.8866666667	1.18879056047198	21
